name,address,reclat,reclong
Community First Pharmacy at Central,"1900 Fairgrove Ave Middletown, OH 45044",39.4031455,-84.5371941
Community First Pharmacy at Lifespan,"208 Columbus Street Hamilton, OH 45011",39.7159627,-83.2688937
Community Memorial Hospital,"1634 11th Street Hicksville, OH 43526",41.293106,-84.7619032
Compass Community Health,"327 Mill Street Portsmouth, OH 45662",38.7293471,-82.9891299
Conneaut City Health Department,"14 East Main Street Conneaut, OH 44030",41.940793,-80.5340808
Conway's Danville Pharmacy,"259 Jefferson St Danville, OH 43014",40.4475643,-82.2601584
"Corner Pharmacy, LLC","2351 Stanley Avenue Greenfield, OH 45123",39.7867744,-84.171816
Corwin Nixon Health Center,"637 Chestnut St Dayton, OH 45404",39.6937404,-84.1037245
Coshocton County Coronavirus Vaccination Clinic,"637 Chestnut Street Coshocton, OH 43812",40.2746024,-81.860042
Coshocton COVID Vaccine Clinic,"311 South 15th Street Coshocton, OH 43812",40.2719293,-81.847452
Coshocton Family Care,"1520 Isaac Beal Rd. Coshocton, OH 43812",40.7915226,-82.9682179
Crawford County Public Health,"19201 E Bagley Rd, Bucyrus, OH 44820",41.3675847,-81.8399267
Cuyahoga County Fairgrounds,"1331 Youngstown-Warren Rd Middleburg Heights, OH 44130",41.2055312,-80.7396342
CVS Pharmacy 2486,"170 EAST MAIN ST Niles, OH 44446",41.1828843,-80.7654164
CVS Pharmacy 3169,"1400 PARSONS AVE Niles, OH 44446",39.9349603,-82.9831977
CVS pharmacy 3193,"3933 PARKMAN ROAD NW Columbus, OH 43206",41.2584572,-80.8674854
CVS Pharmacy 3304,"11706 Clifton Boulevard Warren, OH 44481",41.2467,-80.748216
CVS pharmacy 3329,"3230 Oberlin Ave Lakewood, OH 44107",41.441238,-82.1858934
CVS pharmacy 3353,"11706 Clifton Boulevard Lorain, OH 44053",41.4881263,-81.7693625
CVS pharmacy 3329,"3230 Oberlin Ave Lorain, OH 44053",41.4411561,-82.1859365
CVS Pharmacy 3476,"914 W Main St Piqua, OH 45356",40.1349237,-84.2387856
CVS pharmacy 3634,"2160 LEE RD Tipp City, OH 45371",41.5004913,-81.5657679
CVS Pharmacy 3996,"2846 MAHONING AVE Cleveland Heights, OH 44118",41.1034333,-80.701776
CVS pharmacy 4345,"14440 CEDAR RD Youngstown, OH 44509",41.5010805,-81.5204908
CVS Pharmacy 4447,"900 BELLEFONTAINE RD University Heights, OH 44121",40.7369104,-84.0905183
CVS Pharmacy 5433,"3733 Hamilton-Cleves Road Lima, OH 45804",39.3250256,-84.6369169
CVS pharmacy 5715,"3355 EAST LIVINGSTON AVE Hamilton, OH 45013",39.9458077,-82.9068707
CVS Pharmacy 5813,"463 TIFFAN AVE. Columbus, OH 43227",41.0447412,-83.6419089
CVS Pharmacy 6098,"120 Main Street E Columbus, OH 43227",39.9567122,-82.9961416
CVS Pharmacy 6111,"5229 MONTGOMERY RD Wilmington, OH ",39.1707799,-84.4495395
CVS Pharmacy 6136,"150 SOUTH MAIN STREET Norwood, OH 45212",39.56246,-84.3020132
CVS Pharmacy 6143,"900 N BROAD STREET Franklin, OH 45005",39.8343363,-84.0136127
CVS Pharmacy 6144,"2657 W. ALEX BELL RD Fairborn, OH 45324",39.6730914,-84.215926
CVS Pharmacy 6145,"1300 North Barron Street Moraine, OH ",39.7589091,-84.6352817
CVS Pharmacy 6176,"1049 WEST FOURTH STREET Eaton, OH 45320",40.7654339,-82.5523569
CVS Pharmacy 6177,"201 WEST MAIN STREET Mansfield, OH 44906",40.679249,-82.590495
CVS Pharmacy 6179,"324 FOURTH ST. Bellevue, OH 44811",41.2736647,-82.8415763
CVS Pharmacy 6186,"2565 EAST MAIN ST. Sidney, OH 45365",40.3305102,-84.0889613
CVS Pharmacy 6946,"4548 E. MAIN ST. Springfield, OH 45503",39.9233632,-83.7583162
CVS pharmacy 10372,"2210 West Tuscarawas Street Whitehall, OH 43213",40.7991974,-81.3982328
CVS Pharmacy 11155,"2104 S. BYRNE RD Canton, OH ",41.6016579,-83.6262381
CVS Pharmacy 11213,"126 N. MAIN STREET Toledo, OH 43614",39.4900533,-83.1441047
Darke County General Health District,"300 Garst Ave Bluffton, OH 45817",40.1079942,-84.6338918
Davies Drugs,"6046 Whipple Ave NW Entrance B Greenville, OH ",40.8691457,-81.4189699
Davies Pharmacy,"2915 West Tuscarawas St North Canton, OH 44720",40.7989221,-81.4071793
Davis Drug,"109 West Street Canton, OH 44708",40.8122437,-81.4388858
Dayton Children's Hospital,"1 Children's Plz Caldwell, OH 43724",39.7473022,-81.5155927
Dayton Childrens Drive Thru,"884 Valley Street Dayton, OH 45404",39.7774835,-84.1655043
Vaccination Site,"22 E. 5th St Dayton, OH 45404",39.7561515,-84.1899955
Delaware Public Health District,"1775 E. 5th Street Delaware, OH 43015",40.2986724,-83.067965
"Delphos Family Physicians, Inc.","25 BRIGGS DR Delphos, OH 45833",40.843383,-84.341618
DISCOUNT DRUG MART INC,"38 S MEDINA LINE RD MANSFIELD, OH ",41.1352214,-81.6880621
DISCOUNT DRUG MART INC,"107 S CHESTNUT ST COPLEY, OH 44321",41.1091475,-81.6512164
DISCOUNT DRUG MART INC,"110 CHESTNUT COMMONS DR JEFFERSON, OH ",41.7407275,-80.7691917
DISCOUNT DRUG MART INC,"135 HARDING ST MEDINA, OH ",41.1495981,-81.8622581
Discount Drug Mart Inc,"201 Cline St Norwalk, OH",41.2585237,-82.6136545
DISCOUNT DRUG MART INC,"219 MANSFIELD AVE SHELBY, OH 44875",40.8663783,-82.6403258
DISCOUNT DRUG MART INC,"238 SECOND ST NW NEW PHILADELPHIA, OH 44663",40.4930025,-81.4477261
DISCOUNT DRUG MART INC,"240 W CENTRAL AVE SPRINGBORO, OH 45066",39.5593634,-84.2391578
DISCOUNT DRUG MART INC,"307 W WALTON ST AMHERST, OH 44001",41.0418583,-82.7294036
DISCOUNT DRUG MART INC,"420 CLEVELAND RD E WILLARD, OH ",41.3878953,-82.5431016
DISCOUNT DRUG MART INC,"500 ABBE RD N HURON, OH 44839",41.387902,-82.079091
DISCOUNT DRUG MART INC,"525 W MARION RD ELYRIA, OH 44035",40.5472696,-82.8451052
DISCOUNT DRUG MART INC,"592 12TH ST NW MOUNT GILEAD, OH 43338",40.5904439,-81.0913189
DISCOUNT DRUG MART INC,"629 BEALL AVE CARROLLTON, OH 44615",40.8056423,-81.934216
DISCOUNT DRUG MART INC,"655 PORTAGE TRAIL WOOSTER, OH 44691",40.8241758,-81.9311388
DISCOUNT DRUG MART INC,"661 WOOSTER ST CUYAHOGA FALLS, OH 44221",41.0280383,-81.9997481
DISCOUNT DRUG MART INC,"711 CANTON RD LODI, OH 44254",41.0443873,-81.4360862
DISCOUNT DRUG MART INC,"725 EAST 200TH AKRON, OH 44312",41.5861906,-81.5397326
DISCOUNT DRUG MART INC,"739 CARTER DR EUCLID, OH 44119",40.7399308,-82.8016343
DISCOUNT DRUG MART INC,"765 ALPHA DR GALION, OH ",41.540492,-81.4513521
DISCOUNT DRUG MART INC,"814 N MAIN ST HIGHLAND HEIGHTS, OH 44143",41.5519954,-81.4784522
DISCOUNT DRUG MART INC,"845 HILL RD N WELLINGTON, OH 44090",39.9034156,-82.7734745
DISCOUNT DRUG MART INC,"1005 HIGH ST PICKERINGTON, OH 43147",39.9415267,-82.99696
DISCOUNT DRUG MART INC,"1062 W MCPHERSON HIGHWAY WADSWORTH, OH 44281",41.3153553,-82.9915653
DISCOUNT DRUG MART INC,"1145 ALLIANCE RD NW CLYDE, OH 43410",40.7193972,-81.1159875
DISCOUNT DRUG MART INC,"1155 E WYANDOT AVE MINERVA, OH ",40.8291079,-83.260051
DISCOUNT DRUG MART INC,"1575 LYONS RD UPPER SANDUSKY, OH ",39.626814,-84.1992344
DISCOUNT DRUG MART INC,"1631 CLAREMONT AVE CENTERVILLE, OH 45458",39.5978465,-84.1540659
DISCOUNT DRUG MART INC,"1575 LYONS RD CENTERVILLE, OH 45458",39.626814,-84.1992344
DISCOUNT DRUG MART INC,"1631 CLAREMONT AVE ASHLAND, OH ",40.8533452,-82.3369658
DISCOUNT DRUG MART INC,"1673 PEARL RD ASHLAND, OH 44805",41.2294716,-81.8403375
DISCOUNT DRUG MART INC,"1695 N MAIN ST BRUNSWICK, OH 44212",41.2381096,-81.8418006
DISCOUNT DRUG MART INC,"1763 E MAIN ST NORTH CANTON, OH ",40.8977286,-81.4062355
DISCOUNT DRUG MART INC,"2253 COLORADO AVE KENT, OH 44240",41.4662729,-82.1473097
DISCOUNT DRUG MART INC,"2290 STRINGTOWN RD LORAIN, OH ",39.8801281,-83.0643644
DISCOUNT DRUG MART INC,"2710 EASTON ST NE, STE A GROVE CITY, OH 43123",40.8730649,-81.3306302
DISCOUNT DRUG MART INC,"3015 N WOOSTER AVE CANTON, OH 44721",40.5502548,-81.4940566
DISCOUNT DRUG MART INC,"3032 N RIDGE RD E DOVER, OH 44622",41.876851,-80.7562566
DISCOUNT DRUG MART INC,"3100 GLENWOOD BLVD, STE 294 ASHTABULA, OH ",41.341225,-81.417177
DISCOUNT DRUG MART INC,"3700 MILAN RD TWINSBURG, OH 44087",41.4232827,-82.6786218
DISCOUNT DRUG MART INC,"3889 EAST 71ST ST SANDUSKY, OH 44870",41.4526344,-81.637961
DISCOUNT DRUG MART INC,"4044 FISHCREEK RD CLEVELAND, OH 44105",41.1651892,-81.4048201
DISCOUNT DRUG MART INC,"4170 FULTON RD STOW, OH 44224",41.4428657,-81.7237414
DISCOUNT DRUG MART INC,"4208 LIBERTY AVE CLEVELAND, OH 44144",41.4253875,-82.3368405
DISCOUNT DRUG MART INC,"4441 STATE ROUTE 725 VERMILION, OH 44089",39.6375309,-84.108278
DISCOUNT DRUG MART INC,"4730 HILLS AND DALES RD NW BELLBROOK, OH 45305",40.8327681,-81.4328051
DISCOUNT DRUG MART INC,"4925 PORTAGE ST NW CANTON, OH ",40.8800951,-81.4398565
DISCOUNT DRUG MART INC,"5270 CENTER RD NORTH CANTON, OH 44720",41.2365697,-81.87576
DISCOUNT DRUG MART INC,"5298 DETROIT RD BRUNSWICK, OH 44212",41.423493,-82.077696
DISCOUNT DRUG MART INC,"5500 WALLINGS RD SHEFFIELD VILLAGE, OH 44035",41.3314046,-81.7252075
DISCOUNT DRUG MART INC,"5599 N HAMILTON RD NORTH ROYALTON, OH 44133",40.0706603,-82.8641465
DISCOUNT DRUG MART INC,"5863 DARROW RD COLUMBUS, OH 43230",41.2249294,-81.4393316
DISCOUNT DRUG MART INC,"5923 WOOSTER PIKE HUDSON, OH ",41.1129467,-81.8632794
Discount Drug Mart Inc,"6148 Dunham Rd MEDINA, OH 44256",41.1997946,-82.0039618
DISCOUNT DRUG MART INC,"6160 BRECKSVILLE RD Maple Heights, OH 44137",41.395744,-81.640266
DISCOUNT DRUG MART INC,"6172 TYLERSVILLE RD INDEPENDENCE, OH 44131",39.3527231,-84.332472
Discount Drug Mart Inc,"6476 York Rd MASON, OH 45040",39.3585759,-84.3226488
DISCOUNT DRUG MART INC,"7617 DAYTON-SPRINGFIELD RD Parma Heights, OH 44130",39.8643612,-83.9591289
DISCOUNT DRUG MART INC,"7626 STATE ROUTE 45 FAIRBORN, OH 45324",40.7899964,-80.7764953
DISCOUNT DRUG MART INC,"8023 CRILE RD LISBON, OH 44432",41.6528992,-81.2389512
DISCOUNT DRUG MART INC,"8191 COLUMBIA RD Concord, OH 44077",41.3731017,-81.9008699
DISCOUNT DRUG MART INC,"8023 CRILE RD OLMSTED FALLS, OH 44138",41.6528992,-81.2389512
DISCOUNT DRUG MART INC,"8191 COLUMBIA RD Concord, OH 44077",41.3731017,-81.9008699
DISCOUNT DRUG MART INC,"8459 E WASHINGTON ST OLMSTED FALLS, OH 44138",41.4112717,-81.3399873
DISCOUNT DRUG MART INC,"8500 MENTOR AVE CHAGRIN FALLS, OH ",41.6665768,-81.3364176
DISCOUNT DRUG MART INC,"8951 S OLD STATE RD MENTOR, OH ",40.1518253,-82.9959315
DISCOUNT DRUG MART INC,9318 BROADVIEW RD ,41.3115567,-81.6870283
DISCOUNT DRUG MART INC,12289 LEAVITT RD ,41.3093815,-82.2156242
DISCOUNT DRUG MART INC,"12575 Chillicothe Rd OBERLIN, OH 44074",41.5264742,-81.3371916
Discount Drug Mart Inc,"13123 DETROIT AVE Chesterland, OH 44026",41.484305,-81.7794711
DISCOUNT DRUG MART INC,"13919 PROSPECT RD LAKEWOOD, OH 44107",41.313521,-81.8564146
DISCOUNT DRUG MART INC,"15412 DETROIT AVE STRONGSVILLE, OH 44149",41.4854084,-81.8041105
DISCOUNT DRUG MART INC,"17815 PURITAS AVE LAKEWOOD, OH 44107",41.4337446,-81.8213162
Dr. Gene Wright Community Health,"441 E. 8th St. EASTLAKE, OH 44095",40.712207,-84.0990585
Fairfield County Fairgrounds - Ed,"157 E. Fair Avenue Lancaster, OH 43130",39.7261562,-82.6005845
Family Health Services - Hayes Ave,1912 Hayes Ave ,41.4371101,-82.7120358
Family Medical Care Community Health,200 Luray Drive ,40.3797856,-80.7049384
Fayette County Public Health,"317 S Fayette St North Canton, OH 44720",39.5342601,-83.4368826
Giant Eagle Pharmacy #0209,"900 Northfield RD Lyndhurst, OH 44124",41.3894278,-81.5261334
Giant Eagle Pharmacy #4009,"1825 Snow Road Youngstown, OH 44505",41.4031549,-81.6947281
Giant Eagle Pharmacy #5836,"6259 Mayfield Road Mayfield Heights, OH 44124",41.5215995,-81.4524463
Giant Eagle Pharmacy #6527,"4000 West Powell Road Powell, OH 43065",40.1607319,-83.0937599
Greene County Public Health Covid,"2730 Indian Ripple Road St. Marys, OH 45885",39.692869,-84.036826
Health Partners of Western Ohio Quick,1550 North Main St ,39.5871186,-84.1568051
HealthSource of Ohio Mt. Orab,"150 Health Partners Circle New Richmond, OH 45157",38.9486757,-84.2799366
Henry County Combined General,"1843 Oakwood Avenue Wilmington, OH 45177",41.4123536,-84.1190539
Hopewell Health Centers Athens,"90 Hospital Drive Athens, OH 45701",39.3288143,-82.1155727
Hopewell Health Centers New,"2541 Panther Drive Nelsonville, OH 45764",39.458681,-82.2318156
Jefferson County General Health,"500 Market St Jackson, OH 45640",39.0499923,-82.6339737
Joint Township District Memorial,"200 Saint Clair Ave Steubenville, OH 43952",40.3194228,-80.6092438
Kettering Health Vaccine Clinic -,"4790 Cottonville Road Kettering, OH 45420",39.6543859,-83.7552104
Kroger Pharmacy,199 Graceland Blvd ,40.0650758,-83.0255495
Kroger Pharmacy,800 Loveland Madeira Rd ,39.2613449,-84.2731054
Kroger Pharmacy,"1365 Stoneridge Dr Gahanna, OH 43230",40.0541308,-82.8675116
Kroger Pharmacy,"2474 Stringtown Road Grove City, OH 43123",39.8827959,-83.0685197
Kroger Pharmacy,"3420 Towne Blvd Columbus, OH 43214",39.4946985,-84.32771
Kroger Pharmacy,"3491 North Bend Rd Middletown, OH 45005",39.1897906,-84.5989837
Kroger Pharmacy,"3520 W Siebenthaler Cincinnati, OH 45239",39.1258414,-84.3705433
Kroger Pharmacy,3588 GENDER RD ,39.9083416,-82.8225777
Kroger Pharmacy,"3600 Soldano Boulevard Canal Winchester, OH 43110",39.9567277,-83.0968416
Kroger Pharmacy,3609 Warsaw Ave ,39.1096317,-84.5716002
Kroger Pharmacy,"3636 Springdale Rd Cincinnati, OH 45205",39.2483624,-84.5992116
Kroger Pharmacy,"3637 S High Street Cincinnati, OH 45251",39.8877918,-83.0016395
Kroger Pharmacy,3675 E Broad St ,39.972963,-82.903913
Kroger Pharmacy,"3760 Paxton Ave Whitehall, OH 43213",39.1446631,-84.4299621
Kroger Pharmacy,"3975 West Powell Road Cincinnati, OH 45209",40.1568201,-83.0953326
Kroger Pharmacy,4001 State Route 128 ,39.1722799,-84.7602476
Kroger Pharmacy,"4485 Refugee Road Blue Ash, OH 45236",39.9136174,-82.8772814
Kroger Pharmacy,"4500 Montgomery Rd Columbus, OH 43232",39.1588551,-84.4556596
Kroger Pharmacy,"4506 Brandt Pike Norwood, OH 45212",39.81726,-84.1254297
Kroger Pharmacy,"4530 Eastgate Blvd Ste 500 Dayton, OH 45424",39.1029716,-84.2711923
Kroger Pharmacy,"4533 Monroe St Cincinnati, OH 45245",39.1530248,-84.4532551
Kroger Pharmacy,"4613 Marburg Ave Cincinnati, OH 45209",39.1600038,-84.4270505
Kroger Pharmacy,"4613 Marburg Ave Cincinnati, OH 45209",39.1600038,-84.4270505
Kroger Pharmacy,"4630 Aicholtz Rd Cincinnati, OH 45209",39.1048333,-84.2977244
Kroger Pharmacy,"4633 Suder Rd Cincinnati, OH 45244",41.7056383,-83.4996892
Kroger Pharmacy,"4656 Cemetery Road Toledo, OH 43611",40.0335178,-83.1406139
Kroger Pharmacy,"4777 Kenard Ave Toledo, OH 43611",39.1641401,-84.5146777
Kroger Pharmacy,"4925 Jackman Cincinnati, OH 45232",41.7045035,-83.5864238
Kroger Pharmacy,"5080 Delhi Pike Toledo, OH 43613",39.0959555,-84.6124392
Kroger Pharmacy,"5100 Terra Firma Dr Toledo, OH 43613",39.3175133,-84.3158749
Kroger Pharmacy,"5161 Hampsted Village Center Way Mason, OH 45040",40.0888686,-82.8258485
Kroger Pharmacy,"5210 St Rt 741 New Albany, OH 43031",39.3607883,-84.2787381
Kroger Pharmacy,"5250 Newtown Dr Mason, OH 45050",39.4237369,-84.458177
Kroger Pharmacy,"5400 Cornerstone North Blvd Mason, OH 45050",39.6624998,-84.1036622
Kroger Pharmacy,"5705 South St Rt 48 Kettering, OH 45440",39.3511942,-84.2197901
Kroger Pharmacy,"5800 West Broad Street Maineville, OH 45039",39.9519112,-83.1562804
Kroger Pharmacy,"5910 Harrison Ave Maineville, OH 45039",39.1769202,-84.6413803
Kroger Pharmacy,"5965 Hoover Road Galloway, OH 43119",39.8411986,-83.0751451
Kroger Pharmacy,"5991 S Sunbury Rd #A Grove City, OH 43123",40.084088,-82.8961269
Kroger Pharmacy,"6011 Groveport Road Westerville, OH 43081",39.8541621,-82.8993875
Kroger Pharmacy,"6095 Gender Rd Groveport, OH 43125",39.8559255,-82.831917
Kroger Pharmacy,"6165 Glenway Ave Canal Winchester, OH 43110",39.1424283,-84.6228226
Kroger Pharmacy,"6235 Monroe St Cincinnati, OH 45211",39.1217796,-84.4969382
Kroger Pharmacy,"7300 Yankee Rd Cincinnati, OH 45231",39.3771111,-84.3759553
Langston Hughes Health and Education,"2390 E 79th St, Suite 206 Cincinnati, OH 45231",39.2444348,-84.5327038
Licking Memorial Hospital COVID-19,"1272 W. Main St. Bldg 5 Suite 503 Newark, OH 43055",40.0489879,-82.4487023
Lifecare Family Health and Dental,"2725 Lincoln St. E Massillion, OH 44646",40.7965446,-81.4838235
Lima Memorial Hospital - Lincoln Family,"602 West Redskin Trail Canton, OH 44707",40.7453298,-81.3509416
Marcs Pharmacy North Ridgeville,"34800 Center Ridge Road Canton, OH 44707",41.396814,-82.004105
Marcs Pharmacy Ravenna,"550 W Aurora Road Ravenna, OH 44266",41.3135468,-81.5576039
Marcs Pharmacy Sagamore,"2487 E Stat Street Sagamore Hills, OH 44067",41.3206951,-81.5486728
Memorial Health System Belpre,"807 Farson St. Marion, OH 43302-8990",39.2830597,-81.6135261
Memorial Health System Strecker,"400 Matthew St. Belpre, OH 45714",39.2739639,-81.5729029
Memorial Health System Wayne St.,"330 E. 8th St. Belpre, OH 45714",39.2805758,-81.5703598
Mercy Health - Bay Meadows Family,"3851 Navarre Avenue Marietta, OH 45750",41.6389075,-83.4560699
Mercy Health - St Vincent Medical,"2213 Cherry Street Oregon, OH 43616",41.6686146,-83.542904
Mercy Health - Bay Meadows Family,"3851 Navarre Avenue Toledo, OH 43608",41.639178,-83.45546
Mercy Health - St Vincent Medical,2213 Cherry Street v,41.6679405,-83.5430772
Mercy Health - West Park Family,"3425 Executive Parkway Oregon, OH 43616",41.6834578,-83.6282751
Mercy Health Anderson Medical Office,"7502 State Road Toledo, OH 43606",39.0863327,-84.3500477
Mercy Health St Anne Hospital Med,"3404 West Sylvania Ave Toledo, OH 43606",41.6935557,-83.6257808
Mercy Health Women's Care at,"7875 Montgomery Road Suite 1102 Willard, OH 44890",39.2039327,-84.3776762
Mercy Health Youngstown Covid,"1053 Belmont Ave Cincinnati, OH 45236",39.1964758,-84.5531554
Mercy West Hospital Community,"3300 Mercy Health Blvd. Oregon, OH 43616",41.6377857,-83.4559014
Miami & Erie Family Practice &,"04463 State Route 66 Oregon, OH 43616",40.4147156,-84.3779841
Miami Valley Hospital (Reach Out,"25 E. Foraker Street Troy, OH 45373-2985",39.7470136,-84.1874695
MVHC Cambridge,"1330 Clark St Zanesville, OH 43701",39.9349578,-82.0205262
Neighborhood Family Practice Ridge,"3569 Ridge Road Columbus, OH 43205",41.4592074,-81.7375649
